ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-7155,Source2,2,2016-12-14 19:07:45,2016-12-14 19:37:18,38.479706,-122.733757,,,0.01,Accident on US-101 Southbound at Exit 492 Hopper Ave.,Redwood Hwy S,Santa Rosa,Sonoma,CA,95403,US,US/Pacific,KSTS,2016-12-14 18:53:00,55.9,,100.0,29.91,1.2,SSE,10.4,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-7237,Source2,3,2016-12-15 12:20:59,2016-12-15 13:05:26,38.070591,-122.539421,,,0.01,Queueing traffic and right hand shoulder blocked due to accident on US-101 Southbound at Exits 459A 459B Ignacio Blvd.,US-101 S,Novato,Marin,CA,94949,US,US/Pacific,KDVO,2016-12-15 12:15:00,59.0,,88.0,29.76,2.5,South,13.8,,Light Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7368,Source2,3,2016-12-16 00:10:08,2016-12-16 00:39:25,38.63179,-121.398041,,,0.01,Accident on I-80 Bus Capital City Fwy Southbound at Exits 12 12C Fulton Ave.,Capital City Fwy W,Sacramento,Sacramento,CA,95821,US,US/Pacific,KMCC,2016-12-16 00:15:00,50.0,,94.0,29.63,10.0,SSW,16.1,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-8070,Source2,2,2016-12-21 18:25:27,2016-12-21 18:54:59,39.118305,-122.88604,,,0.01,Serious accident on Nice-Lucerne Cutoff Rd in Lakeport.,Nice-Lucerne Cutoff Rd,Lakeport,Lake,CA,95453,US,US/Pacific,KUKI,2016-12-21 17:56:00,48.9,,77.0,30.04,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-8214,Source2,2,2016-12-22 17:10:10,2016-12-22 17:39:41,37.88084,-122.046326,,,0.01,Jackknifed truck on Rudgear Rd at Vanderslice Ave.,Vanderslice Ave,Walnut Creek,Contra Costa,CA,94596-5964,US,US/Pacific,KCCR,2016-12-22 16:53:00,,,,29.93,,North,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,Night,Day,Day,Day
A-8317,Source2,3,2016-12-23 10:18:41,2016-12-23 10:48:20,37.334236,-122.068367,,,0.01,Accident on I-280 Southbound at Exit 13 Foothill Expy.,Foothill Expy,Los Altos,Santa Clara,CA,94024,US,US/Pacific,KNUQ,2016-12-23 09:56:00,50.0,,86.0,29.88,10.0,SE,17.3,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-8481,Source2,2,2016-12-23 20:43:44,2016-12-23 21:13:33,38.415916,-122.716103,,,0.01,Accident on US-101 Southbound at Exit 487 Corby Ave.,Redwood Hwy S,Santa Rosa,Sonoma,CA,95407,US,US/Pacific,KSTS,2016-12-23 20:53:00,37.9,34.4,100.0,29.8,10.0,North,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-8558,Source2,3,2016-12-25 03:42:54,2016-12-25 04:12:35,37.593128,-121.870636,,,0.01,Accident on I-680 Southbound at Exits 21 21A 21B CA-84.,CA-84,Sunol,Alameda,CA,94586,US,US/Pacific,KLVK,2016-12-25 03:53:00,30.0,26.5,88.0,30.04,10.0,ESE,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-8682,Source2,2,2016-12-27 10:16:48,2016-12-27 10:46:27,38.150757,-122.449348,,,0.01,Accident on CA-37 Sears Point Rd Eastbound at CA-121 Arnold Dr.,Sears Point Rd,Sonoma,Sonoma,CA,95476,US,US/Pacific,KO69,2016-12-27 11:55:00,48.2,,54.0,30.37,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-8972,Source2,3,2016-12-29 14:57:58,2016-12-29 15:27:37,37.830669,-122.293343,,,0.01,Right hand shoulder blocked due to accident on I-580 Westbound near Exits 8B 19A I-80 I-580.,I-580 W,Emeryville,Alameda,CA,94608,US,US/Pacific,KOAK,2016-12-29 14:53:00,57.0,,55.0,30.14,10.0,WSW,6.9,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-9017,Source2,2,2016-12-29 20:14:38,2016-12-29 20:44:21,36.37233,-121.902473,,,0.01,Accident on CA-1 Northbound at Bixby Creek Rd.,Highway 1,Big Sur,Monterey,CA,93920,US,US/Pacific,KMRY,2016-12-29 19:54:00,51.1,,63.0,30.13,10.0,East,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
